HRV,GSR,EMG,Condition
0.77481174,0.06662693,0.24997199,Synthetic
0.16735941,0.7915622,0.7590841,Synthetic
0.18896753,0.7777646,0.7672848,Synthetic
0.5498716,0.45939827,0.45890453,Synthetic
0.5097835,0.59200096,0.65142256,Synthetic
0.5264652,0.36228618,0.46644044,Synthetic
0.5428525,0.43317237,0.49301547,Synthetic
0.529136,0.58100486,0.6321224,Synthetic
0.8391115,0.18389481,0.28101796,Synthetic
0.61589366,0.445642,0.48018083,Synthetic
0.9284182,-0.06408056,0.25858527,Synthetic
0.8074658,0.15433533,0.19263117,Synthetic
0.2547852,0.74672705,0.77083164,Synthetic
0.25294265,0.7666202,0.7350645,Synthetic
0.12843546,0.8801273,0.853644,Synthetic
0.30656907,0.7867885,0.7845202,Synthetic
0.7582849,0.18239595,0.30120978,Synthetic
0.78684926,0.14966218,0.30130383,Synthetic
0.527018,0.33122528,0.38793752,Synthetic
0.30979922,0.5639365,0.5989042,Synthetic
0.7657894,0.2127422,0.30512083,Synthetic
0.3410922,0.76622283,0.7712444,Synthetic
0.17986386,0.8502488,0.8111786,Synthetic
0.45128778,0.47442853,0.5221209,Synthetic
0.3695441,0.5023393,0.53493774,Synthetic
0.3557289,0.5608367,0.5589441,Synthetic
0.62053347,0.20213643,0.3538688,Synthetic
0.60708666,0.19119294,0.28138703,Synthetic
0.49026147,0.5048921,0.41918707,Synthetic
0.6097196,0.33433768,0.3952896,Synthetic
0.2800586,0.51256263,0.5280303,Synthetic
0.18280141,0.76149446,0.76321435,Synthetic
0.097687624,0.9818457,0.97292525,Synthetic
0.59079176,0.3310207,0.43219364,Synthetic
0.38510448,0.5965094,0.62860876,Synthetic
0.062417373,0.97063863,0.95943165,Synthetic
0.11911266,0.8822344,0.859003,Synthetic
0.62052673,0.22120655,0.326091,Synthetic
0.73405105,0.059102688,0.19674325,Synthetic
0.6801521,0.21684864,0.3046373,Synthetic
0.11193421,0.9536626,0.9340633,Synthetic
0.23220193,0.76267815,0.7273974,Synthetic
0.42726016,0.6825847,0.6987663,Synthetic
0.46457243,0.620036,0.66109836,Synthetic
0.29624963,0.8266765,0.83612865,Synthetic
0.8038739,0.11427541,0.3020849,Synthetic
0.21410812,0.82547694,0.785108,Synthetic
0.22603932,0.68103635,0.70712817,Synthetic
0.68401,0.13862592,0.22132725,Synthetic
0.24934906,0.77702487,0.7487528,Synthetic
0.52427787,0.40327153,0.45967954,Synthetic
0.2723608,0.5923571,0.62317425,Synthetic
0.2248108,0.78195393,0.7612638,Synthetic
0.6395296,0.29720777,0.3899962,Synthetic
0.6155152,0.45803335,0.50027204,Synthetic
0.49656197,0.4802926,0.52986914,Synthetic
0.69984126,0.29033506,0.43261823,Synthetic
0.16091187,0.79562753,0.7625072,Synthetic
0.073171586,0.90844434,0.88103306,Synthetic
0.36045602,0.46523458,0.46897614,Synthetic
0.7942106,0.19063635,0.35076794,Synthetic
0.5634472,0.28755218,0.3697051,Synthetic
0.109831885,0.9105552,0.88986784,Synthetic
